strain	TE	absence_detection	presence_detection	combination	read_number_absence	left_match_length	left_match_id	polyAT_left	left_coverage	left_repeat	left_read_number_presence	left_filtered_read_number_presence	right_match_length	right_match_id	polyAT_right	right_coverage	right_repeat	right_read_number_presence	right_filtered_read_number_presence
SRR2033160	FBti0064173		present	polymorphic		60	100.00(0/60)		18.48	DNAREP1_DSim	17	17	60	100.00(0/60)		27.03		15	15
SRR2033160	FBti0060834	present	present	present	0	60	100.00(0/60)		16.28	Copia-2_DYa-LTR	13	13	60	100.00(0/60)		8.22		5	5
SRR2033160	FBti0061888	present	present	present	0	60	100.00(0/60)		22.99		11	11	60	100.00(0/60)		19.63		10	10
SRR2033160	FBti0018872	absent	present	polymorphic	5	60	100.00(0/60)		18.87		10	10	60	100.00(0/60)		12.99		3	3
SRR2033160	FBti0019782		present	polymorphic		60	100.00(0/60)		29.83	(ATATC)n	27	27	60	98.33(1/60)		34.29	Jockey-3_DBp	29	29
SRR2033160	FBti0060315	present	present	present	0	60	100.00(0/60)		18.91		16	16	60	100.00(0/60)		19.60		14	14
SRR2033160	FBti0020160	present	present	present	0	60	100.00(0/60)		4.44		1	1	60	100.00(0/60)		25.89		15	15
SRR2033160	FBti0019193	absent	present	polymorphic	15	60	100.00(0/60)		3.76		1	1	60	100.00(0/60)		8.74		4	4
SRR2033160	FBti0020015		present	polymorphic		60	100.00(0/60)		14.08		9	9	60	100.00(0/60)		10.61	DM412B_LTR	4	4
SRR2033160	FBti0019186	absent	present	polymorphic	3	60	100.00(0/60)		7.38		6	6	-4	100.00(0/1)		5.19		0	0
SRR2033160	FBti0020212	absent	absent	absent	13	-1	0(0/0)		7.31		0	0	-1	0(0/0)		1.16		0	0
SRR2033160	FBti0060571		present	polymorphic		60	100.00(0/60)		78.84		58	58	60	100.00(0/60)		89.71	NOMAD_I	57	57
SRR2033160	FBti0019363	absent	present	polymorphic	1	60	100.00(0/60)		2.74		1	1	60	100.00(0/60)		5.29		4	4
SRR2033160	FBti0020116	absent	present	polymorphic	7	60	100.00(0/60)		6.85		2	2	60	100.00(0/60)		11.26		10	10
SRR2033160	FBti0019356	present	present	present	0	60	100.00(0/60)		8.02		3	3	60	100.00(0/60)		11.68		3	3
SRR2033160	FBti0061769	present	present	present	0	60	100.00(0/60)		30.76		27	27	60	100.00(0/60)		41.11		23	23
SRR2033160	FBti0060416	present	present	present	0	60	100.00(0/60)		11.74		10	10	60	98.33(1/60)		12.01		9	9
SRR2033160	FBti0061318	present	present	present	0	60	100.00(0/60)		26.79		21	21	60	98.33(1/60)		30.16		10	10
SRR2033160	FBti0019390	absent	present	polymorphic	6	60	100.00(0/60)		12.60		4	4	60	100.00(0/60)		14.93	(CAGCATC)n	8	8
SRR2033160	FBti0060849		present	polymorphic		60	100.00(0/60)		15.02	DNAREP1_DSim	10	10	60	100.00(0/60)		29.70		12	12
SRR2033160	FBti0019437	absent	present	polymorphic	4	60	100.00(0/60)		16.68		5	5	60	100.00(0/60)		4.19		1	1
SRR2033160	FBti0018951	absent	present	polymorphic	4	60	100.00(0/60)		18.98	(TA)n	15	15	60	98.33(1/60)		6.29		7	7
SRR2033160	FBti0060174		present	polymorphic		60	100.00(0/60)		26.99	R1-1C_DK	24	24	60	100.00(0/60)		34.64		14	14
SRR2033160	FBti0061367		present	polymorphic		60	100.00(0/60)		30.68		11	11	60	98.33(1/60)		19.54	DNAREP1_DSim	8	8
SRR2033160	FBti0064152	present	present	present	0	60	100.00(0/60)		28.38		18	18	60	100.00(0/60)		21.45		10	10
SRR2033160	FBti0063051		present	polymorphic		60	100.00(0/60)		4.58		2	2	60	100.00(0/60)		21.02	DNAREP1_DSim	15	15
SRR2033160	FBti0019126	absent	present	polymorphic	10	60	100.00(0/60)		17.37		9	9	60	100.00(0/60)		13.15		8	8
SRR2033160	FBti0018920	present	present	present	0	60	100.00(0/60)		7.55		0	0	60	100.00(0/60)		14.02		12	12
SRR2033160	FBti0020042	absent	present	polymorphic	5	60	100.00(0/60)	poly(A)4	10.25		7	7	60	100.00(0/60)		16.28		3	3
SRR2033160	FBti0060159		present	polymorphic		60	100.00(0/60)		25.51	DNAREP1_DM	13	13	60	100.00(0/60)		36.47	Helitron-1_DYak	26	26
SRR2033160	FBti0019146	present	present	present	0	60	100.00(0/60)		3.73		0	0	60	100.00(0/60)		17.96		13	13
SRR2033160	FBti0020405		present	polymorphic		60	100.00(0/60)		32.17	Helitron-N1_DBi	19	19	60	100.00(0/60)		9.20	DNAREP1_DM	7	7
SRR2033160	FBti0019350	absent	present	polymorphic	2	60	100.00(0/60)		8.49		7	7	60	100.00(0/60)		17.03		10	10
SRR2033160	FBti0060903		present	polymorphic		60	100.00(0/60)		27.34	Gypsy-26_DYa-LTR	20	20	-30	0(0/0)		0.00	Gypsy-26_DYa-I	0	0
SRR2033160	FBti0019422	absent	present	polymorphic	3	60	100.00(0/60)		16.06		12	12	60	100.00(0/60)		15.48	(ATAC)n	4	4
SRR2033160	FBti0064253		present	polymorphic		60	100.00(0/60)		19.37	Jockey-2_DEl	17	17	60	100.00(0/60)		18.35	DNAREP1_DSim	13	13
SRR2033160	FBti0019457	absent	present	polymorphic	1	60	100.00(0/60)		12.92		2	2	60	100.00(0/60)		11.65		4	4
SRR2033160	FBti0020128	present	present	present	0	60	96.67(2/60)		16.73		11	11	60	95.00(3/60)		21.50		13	13
SRR2033160	FBti0020115	absent	present	polymorphic	1	60	100.00(0/60)		7.40	(ATATC)n	5	5	60	100.00(0/60)		5.32		2	2
SRR2033160	FBti0061872	present	present	present	0	60	100.00(0/60)		34.87	BEL-6_DYa-I	23	23	60	98.33(1/60)		40.94		23	23
SRR2033160	FBti0063925		present	polymorphic		60	100.00(0/60)		15.44		7	7	60	100.00(0/60)		15.72	DNAREP1_DSim	13	13
SRR2033160	FBti0018915	present	present	present	0	60	100.00(0/60)		9.32		2	2	60	100.00(0/60)		9.61		4	4
SRR2033160	FBti0060848		present	polymorphic		60	100.00(0/60)		6.74	DNAREP1_DM	2	2	60	100.00(0/60)		27.82		16	16
SRR2033160	FBti0060190		present	polymorphic		60	100.00(0/60)		22.62		17	17	60	100.00(0/60)		23.10	Helitron-2_DVir	8	8
SRR2033160	FBti0061649	present	present	present	0	60	100.00(0/60)		26.11		28	28	60	98.33(1/60)		31.67		19	19
SRR2033160	FBti0061571		present	polymorphic		60	100.00(0/60)		15.41	DNAREP1_DYak	10	10	60	100.00(0/60)		13.82		10	10
SRR2033160	FBti0019029	absent	present	polymorphic	7	60	100.00(0/60)		16.81		10	10	60	100.00(0/60)		23.18		11	11
SRR2033160	FBti0020190	absent	present	polymorphic	1	60	100.00(0/60)		5.53		2	2	60	100.00(0/60)		12.65		4	4
SRR2033160	FBti0020146	absent	present	polymorphic	7	60	100.00(0/60)		11.01	Galileo_DM	4	4	60	100.00(0/60)		9.52		3	3
SRR2033160	FBti0060982	present	present	present	0	60	100.00(0/60)		23.68	Helitron-2N1_DVir	21	21	60	100.00(0/60)		27.09		16	16
SRR2033160	FBti0020232		present	polymorphic		55	100.00(0/60)		7.96	(ATATA)n	1	1	60	100.00(0/60)		8.68		5	5
SRR2033160	FBti0019318		present	polymorphic		60	100.00(0/60)		14.90	(CA)n	7	7	60	100.00(0/60)	poly(A)7	13.14	(AC)n	1	1
SRR2033160	FBti0020303		present	polymorphic		60	100.00(0/60)		6.28	BARI1	4	4	60	100.00(0/60)		16.59	BARI1	8	8
SRR2033160	FBti0019520	present	present	present	0	60	100.00(0/60)		18.06		18	18	60	100.00(0/60)		24.81		17	17
SRR2033160	FBti0018987	absent	present	polymorphic	3	60	100.00(0/60)		17.09		10	10	60	100.00(0/60)		14.87	(AC)n	5	5
SRR2033160	FBti0060187	absent	present	polymorphic	6	60	100.00(0/60)		13.69		5	5	60	100.00(0/60)		7.04		6	6
SRR2033160	FBti0019327		present	polymorphic		60	100.00(0/60)		25.96		15	15	60	100.00(0/60)		30.16	BEL-1_DBi-I	15	15
SRR2033160	FBti0062009	present	present	present	0	60	100.00(0/60)		27.74		14	14	60	98.33(1/60)		21.12		18	18
SRR2033160	FBti0019597	absent	present	polymorphic	11	60	100.00(0/60)		11.38		12	12	60	100.00(0/60)		7.84		3	3
SRR2033160	FBti0062615	present	present	present	0	60	100.00(0/60)		20.74		19	19	60	100.00(0/60)		24.74		10	10
SRR2033160	FBti0019172	absent	present	polymorphic	1	60	100.00(0/60)		3.39		1	1	60	100.00(0/60)		16.44		16	16
SRR2033160	FBti0061050		present	polymorphic		60	98.33(1/60)		32.16		14	14	60	100.00(0/60)		22.31	DNAREP1_DM	11	11
SRR2033160	FBti0019140	absent	present	polymorphic	10	60	100.00(0/60)		16.79		8	8	60	100.00(0/60)		19.62		13	13
SRR2033160	FBti0020032	present	present	present	0	60	100.00(0/60)		8.27		5	5	60	100.00(0/60)		10.43		5	5
SRR2033160	FBti0019611		present	polymorphic		60	100.00(0/60)		8.30	HeT-A3_DVi	2	2	60	100.00(0/60)		9.02		3	3
SRR2033160	FBti0064257		present	polymorphic		60	100.00(0/60)		25.07	DNAREP1_DSim	11	11	60	100.00(0/60)		35.53		18	18
